,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
198,cururupu,-1.8283,-44.8683,79.39,91,100,5.86,BR,1617619435
199,novokayakent,42.3937,47.9861,53.6,82,28,8.95,RU,1617619436
200,brae,60.3964,-1.353,33.8,80,75,28.77,GB,1617619078
201,giyon,8.5333,37.9833,85.73,18,93,13.11,ET,1617619437
202,challapata,-18.9,-66.7667,45.1,71,99,2.51,BO,1617619437
203,hovd,48.0056,91.6419,47.35,14,9,4.99,MN,1617618913
204,irbeyskoye,55.6428,95.4522,38.32,98,100,3.09,RU,1617619437
205,tarrafal,15.2833,-23.7667,82.4,30,0,20.71,CV,1617619438
206,gbadolite,4.2833,21.0167,102.43,25,49,1.97,CD,1617619438
207,kirakira,-10.4544,161.9205,80.73,83,82,2.55,SB,1617619438
208,arraial do cabo,-22.9661,-42.0278,71.6,94,40,3.44,BR,1617618907
209,port macquarie,-31.4333,152.9167,70.0,99,100,6.08,AU,1617619439
210,sainte-rose,16.3324,-61.6979,71.6,94,75,9.84,GP,1617619439
211,paamiut,61.994,-49.6678,34.29,89,100,6.53,GL,1617619110
212,college,64.8569,-147.8028,12.2,62,40,12.66,US,1617619058
213,amazar,53.858,120.875,21.92,65,62,13.18,RU,1617619440
214,xiongyue,40.1774,122.1228,51.46,44,100,15.37,CN,1617619440
215,portland,45.5234,-122.6762,37.99,75,9,1.25,US,1617619314
216,northam,51.0333,-4.2167,46.0,68,100,11.01,GB,1617619441
217,esperance,-33.8667,121.9,71.6,73,94,13.8,AU,1617618922
218,padang,-0.9492,100.3543,84.2,74,20,2.3,ID,1617619441
219,rocha,-34.4833,-54.3333,65.37,94,19,8.84,UY,1617619441
220,oakdale,44.963,-92.9649,54.0,66,1,5.28,US,1617619442
221,lagoa,39.05,-27.9833,59.47,85,95,14.54,PT,1617618898
222,manadhoo,5.7667,73.3833,84.42,66,43,11.03,MV,1617619442
223,kalmunai,7.4167,81.8167,84.2,67,1,11.99,LK,1617619112
224,floro,61.5996,5.0328,32.0,93,90,28.77,NO,1617619443
225,kizner,56.2749,51.508,37.8,78,67,9.89,RU,1617619443
226,seymchan,62.8833,152.4333,5.31,88,100,5.35,RU,1617619444
227,east london,-33.0153,27.9116,68.0,94,90,9.22,ZA,1617618737
228,sesheke,-17.4759,24.2968,87.82,31,0,4.34,ZM,1617619444
229,hami,42.8,93.45,63.12,21,13,5.77,CN,1617619084
230,shelburne,44.0787,-80.2041,36.0,68,98,6.15,CA,1617619445
231,ahuimanu,21.4447,-157.8378,71.6,68,90,11.5,US,1617619445
232,mukhen,48.1,136.1,44.87,47,100,11.14,RU,1617619445
233,port hedland,-20.3167,118.5667,84.2,58,8,4.61,AU,1617619446
234,kishi,9.0833,3.85,101.86,19,31,2.48,NG,1617619446
235,comodoro rivadavia,-45.8667,-67.5,51.8,82,75,2.3,AR,1617619446
236,asau,46.4333,26.4,51.01,33,31,14.85,RO,1617619447
237,lodja,-3.4833,23.4333,83.14,64,95,2.59,CD,1617619447
238,mbanza-ngungu,-5.25,14.8667,83.34,61,93,4.88,CD,1617619447
239,saskylakh,71.9167,114.0833,-8.79,95,3,6.51,RU,1617618916
240,byron bay,-28.65,153.6167,71.6,94,90,13.8,AU,1617619231
241,salta,-24.7859,-65.4117,60.8,100,75,2.3,AR,1617619448
242,geraldton,-28.7667,114.6,73.4,73,1,12.66,AU,1617618843
243,ulaangom,49.9811,92.0667,45.95,25,0,7.31,MN,1617619448
244,melfi,40.9965,15.6514,55.4,44,40,3.44,IT,1617619448
245,luanda,-8.8368,13.2343,84.2,74,75,8.05,AO,1617619449
246,puerto leguizamo,-0.1934,-74.7819,69.89,99,96,1.81,CO,1617619449
247,emerald,-23.5333,148.1667,73.4,88,90,10.36,AU,1617619449
248,dawlatabad,36.4141,64.9053,64.15,35,3,13.22,AF,1617619450
249,tuatapere,-46.1333,167.6833,54.0,67,38,5.99,NZ,1617618898
250,dwarka,22.2394,68.9678,84.61,60,1,13.29,IN,1617619450
251,yenagoa,4.9247,6.2642,92.75,51,42,5.12,NG,1617619451
252,erenhot,43.6475,111.9767,52.84,16,100,6.13,CN,1617619110
253,jacinto city,29.7675,-95.2338,63.0,94,90,9.22,US,1617619451
254,aswan,24.0934,32.907,90.81,7,0,8.19,EG,1617619451
255,constitucion,-35.3333,-72.4167,57.58,84,100,8.14,CL,1617618898
256,omboue,-1.5746,9.2618,87.6,66,99,6.42,GA,1617619452
257,clyde river,70.4692,-68.5914,-13.0,84,75,3.44,CA,1617619452
258,margate,51.3813,1.3862,39.99,72,100,8.99,GB,1617619453
259,kortkeros,61.8106,51.5806,41.0,52,0,11.18,RU,1617619453
260,tura,25.5198,90.2201,90.32,11,0,7.4,IN,1617618907
261,tautira,-17.7333,-149.15,78.8,83,40,2.3,PF,1617619454
262,boguchany,58.3814,97.4531,37.27,97,100,2.84,RU,1617619454
263,sao filipe,14.8961,-24.4956,76.53,62,1,7.29,CV,1617619454
264,kahului,20.8947,-156.47,71.6,88,90,17.27,US,1617618793
265,kaeo,-35.1,173.7833,60.01,90,100,3.47,NZ,1617619078
266,havre-saint-pierre,50.2334,-63.5986,41.0,93,90,9.22,CA,1617619133
267,klyuchi,52.2667,79.1667,45.41,78,100,9.66,RU,1617619455
268,cockburn town,21.4612,-71.1419,72.7,72,98,20.62,TC,1617619455
269,bazpur,29.15,79.1167,102.47,7,91,8.32,IN,1617619456
270,namanga,-2.5433,36.7905,78.71,54,95,4.03,KE,1617619456
271,dzilam gonzalez,21.2833,-88.9333,64.9,87,30,4.99,MX,1617619457
272,roebourne,-20.7833,117.1333,86.2,43,3,8.81,AU,1617619457
273,sisimiut,66.9395,-53.6735,13.89,84,100,1.63,GL,1617619457
274,sakakah,29.9697,40.2064,80.6,9,0,8.05,SA,1617619458
275,karlskoga,59.3267,14.5239,35.6,64,40,17.27,SE,1617619458
276,bandarbeyla,9.4942,50.8122,83.5,59,51,10.58,SO,1617619458
277,manokwari,-0.8667,134.0833,80.44,84,73,10.78,ID,1617619459
278,lewistown,40.5992,-77.5714,37.0,80,1,3.33,US,1617619459
279,contramaestre,20.2978,-76.2414,69.8,73,75,10.36,CU,1617619459
280,barcelos,41.5388,-8.6151,71.01,32,0,5.75,PT,1617619317
281,swellendam,-34.0226,20.4417,64.4,94,100,10.36,ZA,1617619460
282,tsiroanomandidy,-18.7667,46.0333,81.55,56,63,4.0,MG,1617619460
283,gumrak,48.7826,44.3824,41.0,87,75,17.9,RU,1617619461
284,ixtapa,20.7,-105.2,69.01,84,8,2.62,MX,1617619115
285,waikuku,-43.3,172.6833,59.0,67,75,14.97,NZ,1617619461
286,sitka,57.0531,-135.33,39.2,93,90,17.27,US,1617619099
287,zholymbet,51.7433,71.7122,33.8,99,100,15.84,KZ,1617619276
288,conde,-7.2597,-34.9075,78.8,94,40,2.3,BR,1617619462
289,pochutla,15.7432,-96.4661,75.99,67,2,4.0,MX,1617619462
290,mildura,-34.2,142.15,71.6,26,0,3.44,AU,1617618715
291,santander,43.4647,-3.8044,57.2,72,20,3.44,ES,1617619463
292,haines junction,60.7522,-137.5108,30.2,64,76,3.44,CA,1617619463
293,berlevag,70.8578,29.0864,35.6,80,75,23.02,NO,1617619463
294,lorengau,-2.0226,147.2712,81.5,77,87,2.91,PG,1617619106
295,maracacume,-2.0428,-45.9592,77.86,90,97,4.38,BR,1617619464
296,concepcion,-36.827,-73.0498,59.0,82,90,11.5,CL,1617619464
297,mount isa,-20.7333,139.5,80.6,44,32,6.91,AU,1617619464
298,hamilton,39.1834,-84.5333,52.0,71,20,3.44,US,1617619456
299,saurimo,-9.6608,20.3916,78.8,65,75,6.91,AO,1617619465
300,malinovoye ozero,51.6753,79.7825,48.36,68,87,12.46,RU,1617619465
301,lavrentiya,65.5833,-171.0,-14.53,94,19,5.23,RU,1617619121
302,komsomolskiy,40.4272,71.7189,60.8,41,40,2.3,UZ,1617619465
303,villa carlos paz,-31.4241,-64.4978,64.99,84,89,2.08,AR,1617619466
304,souillac,-20.5167,57.5167,87.8,66,40,16.11,MU,1617619107
305,cozumel,20.5083,-86.9458,69.8,78,1,4.61,MX,1617619466
306,pangkalanbuun,-2.6833,111.6167,78.51,87,95,3.74,ID,1617619467
307,ashland,40.8167,-82.2665,45.0,67,81,6.98,US,1617619467
308,prince rupert,54.3161,-130.3201,41.0,93,90,4.61,CA,1617619467
309,iqaluit,63.7506,-68.5145,12.2,79,75,20.71,CA,1617618912
310,dalby,-27.1833,151.2667,69.01,91,100,1.99,AU,1617619468
311,siilinjarvi,63.0833,27.6667,39.2,81,90,21.85,FI,1617619468
312,barcelona,41.3888,2.159,66.99,42,0,6.91,ES,1617619309
313,thongwa,16.7619,96.5278,77.0,100,90,2.3,MM,1617619469
314,centenario do sul,-22.8211,-51.5953,65.86,75,76,14.74,BR,1617619469
315,sept-iles,50.2001,-66.3821,37.4,93,90,9.22,CA,1617619250
316,halifax,44.6453,-63.5724,41.0,93,100,12.66,CA,1617619428
317,thinadhoo,0.5333,72.9333,83.95,74,50,14.45,MV,1617619469
318,marzuq,14.4,46.4667,89.76,8,2,8.19,YE,1617619470
319,yulara,-25.2406,130.9889,82.4,23,0,5.75,AU,1617618902
320,yavaros,26.7,-109.5167,67.8,51,3,2.06,MX,1617619470
321,sao francisco,-15.9486,-44.8644,74.5,74,93,9.19,BR,1617619471
322,fortuna,40.5982,-124.1573,46.99,100,1,3.44,US,1617619076
323,kavaratti,10.5669,72.642,83.14,68,21,12.82,IN,1617618897
324,pokrovka,42.3414,78.0056,42.33,74,99,4.97,KG,1617619471
325,la rioja,42.25,-2.5,59.0,41,0,9.22,ES,1617619472
326,san patricio,28.017,-97.5169,63.0,100,75,6.26,US,1617619094
327,humberto de campos,-2.5983,-43.4611,80.91,82,72,9.44,BR,1617619472
328,darhan,49.4867,105.9228,47.52,40,4,3.78,MN,1617619472
329,kununurra,-15.7667,128.7333,80.6,69,0,2.3,AU,1617619473
330,pachperwa,27.5167,82.65,100.36,4,1,3.2,IN,1617619473
331,goundam,16.4145,-3.6708,100.24,3,4,7.29,ML,1617619474
332,meadow lake,34.8014,-106.5436,59.0,33,1,8.05,US,1617619474
333,viljoenskroon,-27.2084,26.9485,86.0,32,0,2.8,ZA,1617619474
334,makinsk,52.6292,70.4169,34.41,99,100,13.98,KZ,1617619474
335,augusto correa,-1.0217,-46.635,78.51,93,100,6.24,BR,1617619475
336,eyl,7.9803,49.8164,86.54,57,98,14.67,SO,1617619475
337,knysna,-34.0363,23.0471,64.4,94,90,5.75,ZA,1617619476
338,narsaq,60.9167,-46.05,32.0,93,75,1.14,GL,1617619476
339,ilulissat,69.2167,-51.1,19.4,86,75,9.22,GL,1617619107
340,fujin,47.26,132.0322,52.45,35,82,13.09,CN,1617619476
341,mahon,39.8885,4.2658,62.6,51,20,9.22,ES,1617619477
342,samarai,-10.6167,150.6667,83.05,79,98,7.83,PG,1617619477
343,babstovo,48.1167,132.4833,42.42,78,98,13.58,RU,1617619477
344,tiarei,-17.5333,-149.3333,78.8,83,40,2.3,PF,1617619478
345,praia,14.9215,-23.5087,82.4,30,0,20.71,CV,1617619114
346,mogadishu,2.0371,45.3438,87.8,62,40,9.22,SO,1617619214
347,soyo,-6.1349,12.3689,87.8,70,75,6.91,AO,1617619478
348,maniitsoq,65.4167,-52.9,23.99,88,100,2.06,GL,1617619479
349,menongue,-14.6585,17.691,81.64,37,49,9.44,AO,1617619077
350,ancud,-41.8697,-73.8203,52.0,87,0,13.8,CL,1617619102
351,rathdrum,47.8137,-116.892,36.0,93,75,1.9,US,1617619479
352,jelgava,56.65,23.7128,41.0,70,90,16.11,LV,1617619479
353,sulphur,30.2366,-93.3774,59.0,88,1,3.44,US,1617619480
354,mayo,38.8876,-76.5119,46.99,66,1,3.44,US,1617619480
355,vaitape,-16.5167,-151.75,81.82,75,15,13.87,PF,1617619481
356,jalingo,8.8833,11.3667,105.04,8,9,3.69,NG,1617619481
357,jodhpur,26.2867,73.03,104.47,6,16,19.39,IN,1617619481
358,sovetskiy,61.3614,63.5842,32.5,99,100,4.63,RU,1617619482
359,amahai,-3.3333,128.9167,80.01,81,82,2.48,ID,1617619482
360,velsk,61.0701,42.0983,40.53,79,100,11.97,RU,1617619482
361,adrar,20.5022,-10.0711,86.79,10,6,14.97,MR,1617619483
362,berezovyy,51.6667,135.7,31.15,81,100,3.27,RU,1617619483
363,ondangwa,-17.9167,15.95,86.0,39,0,10.36,NA,1617619483
364,suntar,62.1444,117.6319,4.5,93,100,2.95,RU,1617619484
365,shimoda,34.6667,138.95,55.0,68,98,7.0,JP,1617619484
366,shingu,33.7333,135.9833,55.4,47,20,21.85,JP,1617619485
367,kuchera,26.9839,73.9719,103.46,6,31,18.61,IN,1617619485
368,goryachegorsk,55.4053,88.9154,43.36,86,98,2.28,RU,1617619485
